SampleID	Treatment	Site	TreatmentSite
S-1-0-C	Control	SGS	SGS-Control
S-4-0-C	Control	SGS	SGS-Control
S-8-0-C	Control	SGS	SGS-Control
S-10-0-C	Control	SGS	SGS-Control
S-13-0-C	Control	SGS	SGS-Control
S-16-0-C	Control	SGS	SGS-Control
S-20-0-C	Control	SGS	SGS-Control
S-23-0-C	Control	SGS	SGS-Control
S-27-0-C	Control	SGS	SGS-Control
S-30-0-C	Control	SGS	SGS-Control
C-3-0-C	Control	CHY	CHY-Control
C-5-0-C	Control	CHY	CHY-Control
C-8-0-C	Control	CHY	CHY-Control
C-12-0-C	Control	CHY	CHY-Control
C-14-0-C	Control	CHY	CHY-Control
C-18-0-C	Control	CHY	CHY-Control
C-21-0-C	Control	CHY	CHY-Control
C-23-0-C	Control	CHY	CHY-Control
C-26-0-C	Control	CHY	CHY-Control
C-29-0-C	Control	CHY	CHY-Control
H-3-0-C	Control	HYS	HYS-Control
H-6-0-C	Control	HYS	HYS-Control
H-7-0-C	Control	HYS	HYS-Control
H-10-0-C	Control	HYS	HYS-Control
H-15-0-C	Control	HYS	HYS-Control
H-17-0-C	Control	HYS	HYS-Control
H-20-0-C	Control	HYS	HYS-Control
H-22-0-C	Control	HYS	HYS-Control
H-26-0-C	Control	HYS	HYS-Control
H-29-0-C	Control	HYS	HYS-Control
K-3-0-C	Control	KNZ	KNZ-Control
K-4-0-C	Control	KNZ	KNZ-Control
K-9-0-C	Control	KNZ	KNZ-Control
K-12-0-C	Control	KNZ	KNZ-Control
K-14-0-C	Control	KNZ	KNZ-Control
K-16-0-C	Control	KNZ	KNZ-Control
K-19-0-C	Control	KNZ	KNZ-Control
K-23-0-C	Control	KNZ	KNZ-Control
K-27-0-C	Control	KNZ	KNZ-Control
K-30-0-C	Control	KNZ	KNZ-Control
S-3-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-5-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-9-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-11-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-15-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-17-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-19-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-22-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-26-0-C	Control - Legacy Effects	SGS	SGS-Legacy
S-28-0-C	Control - Legacy Effects	SGS	SGS-Legacy
C-1-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-6-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-7-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-11-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-13-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-16-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-19-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-24-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-27-0-C	Control - Legacy Effects	CHY	CHY-Legacy
C-28-0-C	Control - Legacy Effects	CHY	CHY-Legacy
H-2-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-4-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-9-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-11-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-14-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-16-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-19-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-24-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-25-0-C	Control - Legacy Effects	HYS	HYS-Legacy
H-30-0-C	Control - Legacy Effects	HYS	HYS-Legacy
K-1-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-5-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-8-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-11-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-15-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-18-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-21-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-22-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-25-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
K-29-0-C	Control - Legacy Effects	KNZ	KNZ-Legacy
S-1-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-4-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-8-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-10-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-13-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-16-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-20-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-23-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-27-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
S-30-1-D	Drought - Recovery 1	SGS	SGS-DroughtR1
C-3-1-D	Drought - Recovery 1	CHY	CHY-DroughtR1
C-5-1-D	Drought - Recovery 1	CHY	CHY-DroughtR1
C-8-1-D	Drought - Recovery 1	CHY	CHY-DroughtR1
C-12-1-D	Drought - Recovery 1	CHY	CHY-DroughtR1
C-14-1-D	Drought - Recovery 1	CHY	CHY-DroughtR1
C-18-1-D	Drought - Recovery 1	CHY	CHY-DroughtR1
C-21-1-D	Drought - Recovery 1	CHY	CHY-DroughtR1
