#OTU ID	K-19-0-D	K-14-1-D	K-15-2-D	H-25-2-D	C-18-0-C	K-12-2-D	S-9-0-C	S-8-0-C	K-21-0-D	C-14-0-D	H-19-0-C	K-30-1-D	H-9-1-C	K-25-0-C	C-6-0-D	H-22-0-C	C-27-0-C	C-1-2-D	H-10-0-D	C-29-2-D	K-4-2-D	S-1-0-C	S-28-0-D	C-3-0-C	C-27-1-D	K-22-1-D	H-20-1-D	C-29-0-D	S-8-0-D	H-24-2-D	K-12-0-C	C-11-1-D	H-4-2-D	H-15-0-C	K-27-0-D	C-28-2-D	H-25-1-D	K-11-2-D	S-27-0-C	H-17-0-D	S-5-0-C	H-25-0-D	H-3-1-D	H-17-1-D	C-28-0-C	S-4-2-D	H-20-0-D	H-16-0-C	C-1-0-C	S-5-1-D	H-11-2-D	C-24-0-D	S-5-0-D	H-26-1-D	C-20-1-D	K-9-0-D	C-29-1-D	C-11-0-C	C-3-0-D	H-20-2-D	C-8-1-D	K-9-0-C	H-26-0-C	S-10-2-D	H-30-1-D	S-15-2-D	H-17-2-D	S-3-2-D	K-16-0-D	K-14-0-C	S-13-1-D	C-27-2-D	H-15-2-D	C-7-0-C	K-11-1-D	C-7-1-D	C-26-0-C	H-19-0-D	S-28-0-C	S-4-0-D	H-2-0-D	K-23-2-D	H-11-0-C	S-22-1-D	K-29-0-C	C-25-0-D	H-6-0-D	H-19-2-D	H-14-2-D	H-6-2-D	S-9-0-D	C-16-0-C	K-29-1-D	C-5-0-D	H-9-2-D	C-23-0-C	C-24-1-D	C-23-2-D	H-29-1-D	H-2-2-D	H-3-2-D	H-29-0-C	C-19-0-C	C-6-2-D	S-28-2-D	S-22-0-D	H-24-0-C	S-16-2-D	C-24-2-D	C-28-1-D	K-15-0-D	S-19-1-D	S-4-1-D	K-18-0-D	C-18-1-D	S-19-0-C	H-17-0-C	H-30-2-D	S-16-0-D	S-8-2-D	H-16-1-D	H-19-1-D	K-1-2-D	K-23-0-D	S-26-0-C	K-21-1-D	C-23-1-D	S-23-2-D	C-1-1-D	K-22-0-C	C-19-0-D	H-26-2-D	C-5-1-D	S-27-1-D	S-26-0-D	H-14-0-D	C-6-1-D	H-2-1-D	H-10-0-C	H-9-1-D	K-29-0-D	H-2-0-C	K-18-2-D	S-9-2-D	K-19-0-C	H-10-1-D	C-7-2-D	K-1-1-D	S-11-0-C	C-19-1-D	S-15-0-C	S-16-0-C	S-11-0-D	S-19-0-D	H-30-0-D	K-19-2-D	S-11-1-D	S-23-0-D	S-11-2-D	S-10-0-C	K-21-2-D	K-15-0-C	S-23-1-D	K-21-0-C	S-3-0-C	K-9-1-D	C-19-2-D	H-26-0-D	K-11-0-D	H-4-0-C	K-25-2-D	K-30-2-D	K-4-0-C	S-26-1-D	S-30-1-D	H-11-0-D	S-10-0-D	C-12-0-D	K-16-1-D	C-13-2-D	K-25-1-D	C-28-0-D	H-20-0-C	H-22-0-D	C-20-2-D	H-3-0-D	K-19-1-D	C-5-0-C	K-16-0-C	K-14-2-D	H-16-2-D	C-16-2-D	K-23-1-D	C-29-0-C	C-4-2-D	S-17-0-C	S-3-1-D	S-16-1-D	K-1-0-D	C-18-2-D	H-25-0-C	S-28-1-D	C-12-0-C	K-3-1-D	H-9-0-C	S-20-2-D	K-25-0-D	K-22-2-D	C-26-0-D	C-2-2-D	K-14-0-D	K-4-1-D	S-22-0-C	H-29-2-D	K-27-0-C	K-23-0-C	S-20-0-C	C-5-2-D	C-21-2-D	K-5-2-D	C-24-0-C	H-4-0-D	H-11-1-D	C-12-1-D	S-22-2-D	K-11-0-C	K-5-1-D	K-8-2-D	K-12-1-D	C-1-0-D	C-7-0-D	H-16-0-D	S-1-2-D	S-20-1-D	H-14-0-C	C-8-0-C	S-19-2-D	K-8-1-D	S-9-1-D	S-17-1-D	S-1-1-D	C-16-0-D	H-7-1-D	H-24-0-D	S-20-0-D	C-16-1-D	H-7-0-D	K-29-2-D	S-8-1-D	S-3-0-D	K-22-0-D	H-15-0-D	K-12-0-D	K-3-2-D	S-30-0-C	C-18-0-D	C-13-1-D	K-15-1-D	S-13-0-C	K-8-0-C	H-6-1-D	K-3-0-C	S-15-0-D	K-4-0-D	C-8-0-D	H-9-0-D	H-14-1-D	C-6-0-C	H-7-0-C	S-10-1-D	K-18-1-D	K-1-0-C	H-6-0-C	K-30-0-D	K-5-0-C	H-24-1-D	S-13-2-D	H-22-2-D	K-27-1-D	C-8-2-D	S-1-0-D	H-30-0-C	H-4-1-D	S-15-1-D	C-27-0-D	K-30-0-C	C-13-0-C	C-14-0-C	S-30-0-D	S-27-2-D	K-8-0-D	K-3-0-D	K-16-2-D	H-7-2-D	K-18-0-C	S-26-2-D	H-22-1-D	H-3-0-C	S-4-0-C	C-11-0-D	H-29-0-D	K-5-0-D	S-23-0-C	C-14-2-D	S-17-2-D	taxonomy
OTU_1	45	36	54	135	618	199	528	4984	77	468	81	22	34	32	202	31	53	477	19	146	47	168	1614	62	187	34	21	270	3847	86	439	585	13	45	52	198	312	71	377	131	912	117	41	260	92	845	23	18	522	1736	8	1165	1356	98	858	35	114	247	397	31	423	29	54	3775	15	1141	38	392	67	27	181	71	178	143	195	533	571	46	441	2157	18	102	69	1855	92	433	8	43	569	257	629	356	66	515	64	1323	314	301	47	30	45	142	139	416	2130	3598	145	459	162	433	187	2424	690	67	355	910	21	41	1131	1096	168	28	10470	260	438	37	316	1880	253	132	132	22	227	1292	1889	30	210	54	47	22	229	80	79	826	97	108	427	2583	327	108	646	1768	4386	1367	88	408	2087	1872	1059	3103	23	9	2410	91	750	87	347	61	129	46	473	34	12	375	3105	45	5407	213	51	151	1262	634	28	48	363	61	279	108	48	36	9	1922	105	98	89	2522	418	671	408	129	51	1516	1078	26	56	2666	2438	78	307	145	131	44	670	156	53	0	2290	276	2879	26	263	214	6	173	810	180	17	20	94	553	219	107	485	872	148	1106	2835	63	528	580	567	1216	0	38	3137	335	47	79	815	430	652	123	376	12	696	306	234	56	505	24	41	20	351	19	757	75	3	113	31	6466	39	125	63	47	17	23	181	140	18	110	505	107	25	994	302	190	318	551	2249	767	58	21	125	14	60	292	50	0	388	56	0	1	0	0	0	d__Fungi
OTU_10	0	7	140	3802	0	1	1	0	0	0	157	135	308	0	0	129	0	31	0	3	1	1	0	1	0	13	1323	0	0	113	1	0	112	45	42	61	98	1	23	3	0	268	90	1	39	1	2147	9	0	1	6	11	1	0	0	1	2	12	3	1327	1	0	0	14	255	0	11	0	7	17	2	2	12	16	0	0	0	8	3	0	79	7	11	1	4	1	508	5	3	1259	0	12	13	0	31	4	37	1	0	59	72	5	0	0	0	0	667	0	273	13	47	0	0	38	0	12	20	38	0	5	56	7	21	9	0	0	0	1	6	0	0	1	0	0	1	14	0	19	34	11	0	22	64	0	33	2	2	35	25	0	162	2	0	0	1559	0	2	0	0	0	0	9	0	133	0	1	0	1	0	2627	0	62	0	0	0	17	1	0	0	0	0	20	313	39	1	346	0	0	0	0	151	1	16	6	0	4	0	0	7	0	542	0	19	0	436	0	2	86	0	0	0	9	4	1	23	0	0	0	0	21	134	214	0	2	0	3	3	0	0	1	0	136	0	0	4606	0	1	3	1	1	0	0	9	3	0	0	58	0	0	1	23	12	21	14	10	0	3	321	39	0	842	0	0	0	0	27	7	3	225	0	18	12	324	81	2	4	0	71	12	5	0	87	34	0	1	17	1059	6	0	0	0	0	0	10	0	0	18	8	6	0	0	0	0	0	0	d__Fungi
OTU_100	0	0	0	0	0	0	105	11	0	0	0	0	0	0	0	4	0	0	0	0	0	40	39	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	76	0	0	82	0	0	0	0	0	0	0	0	0	0	13	0	400	0	595	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	12	0	0	0	9	0	0	22	38	0	0	0	1	7	0	0	1	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	165	0	0	0	0	154	0	0	11	11	13	0	0	2	0	4	0	0	0	0	0	55	0	0	0	0	0	0	0	0	29	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	869	40	0	0	0	12	0	0	0	123	0	0	0	0	0	0	0	0	0	0	115	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	90	0	0	23	0	141	1	0	1	0	0	80	0	0	0	39	837	1	0	0	0	0	0	0	0	8	0	0	0	138	0	0	0	0	0	0	3	0	0	0	0	0	0	9	0	0	3	1	0	0	411	0	0	0	0	11	15	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae
OTU_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	143	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Fungi
OTU_1001	0	1	0	0	0	52	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Fungi;p__Ascomycota
OTU_1002	0	0	0	6	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	22	0	3	2	10	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	33	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	28	0	0	7	0	0	0	0	2	0	0	0	0	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0	47	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	3	0	0	0	27	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	d__Fungi;p__Ascomycota;c__Orbiliomycetes
OTU_1003	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_1004	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Fungi
OTU_1005	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	208	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae
OTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales__fam__Incertae__sedis;g__Robillarda;s__Robillarda__sessilis__SH1648928.08FU
